PROSPECT,COMPANY,TIER,LOCATION,DECISION_MAKER,EMAIL,PHONE,ANNUAL_SPEND_KES,PAIN_POINT,ENGAGEMENT_ANGLE,CONTACT_DATE,STATUS,CALLS_MADE,PILOT_DATE,NOTES
1,Britam Group Construction,T1,Nairobi,Procurement Director,info@britam.com / tenders@britam.com,+254-703-094-000,500000000,Material procurement inefficiencies,"Reduce bulk material costs by 15-20%",2026-05-24,Contacted,1,,✅ EMAILS VERIFIED — info@britam.com (gen'l); tenders@britam.com (procurement tenders) at britam.co.ke. Sent sales introduction email 2026-05-24 to info@britam.com via agent. Awaiting reply.
2,Tropical Heat Ltd,T1,Nairobi,Supply Chain Manager,,+254-732-XXX-XXX,300000000,Supplier reliability,Direct access to West African suppliers,,Not Started,0,,⚠️ NO EMAIL FOUND — tropicalheat.co.ke (brand site) did not resolve; search yielded no verified email. Find via Kenya Manufacturer's Association directory or LinkedIn 'Supply Chain Manager Tropical Heat Ltd'.
3,ACON Limited,T1,"Nairobi, Mombasa",Head of Operations,,+254-700-XXX-XXX,400000000,Material shortages,Guaranteed supply contracts,,Not Started,0,,⚠️ NO EMAIL — aconeastafrica.com / acon.co.ke did not resolve. Note: 'Acon Medical Supplies' (aconmedical.com) ≠ ACON Limited (construction importer). find via Kenya Importers Association or Kenya Sugar Bags directory.
4,Tamarind Construction Limited,T1,Nairobi,Procurement Head,,+254-722-XXX-XXX,250000000,Last-mile logistics,One-stop bulk sourcing,,Not Started,0,,✅ DOMAIN VERIFIED — tamarind.co.ke is active (hospitality group, Mombasa HQ). 'Tamarind Construction Limited' = property/dev division of Tamarind Group; email format = @tamarind.co.ke. procurement email not confirmed publicly; find via SignalHire 'Assistant Procurement Officer' pattern (tamarind.co.ke) or tamarind.co.ke/contact
5,Kilimani Builders,T1,Nairobi,Materials Manager,,+254-722-XXX-XXX,200000000,Working capital tied up,Flexible payment terms,,Not Started,0,,⚠️ NO EMAIL — kilimanibuilders.com not found. Find via Nairobi Builders Association (NBA) directory or Kenya Contractor Registry. Known: material-intensive builder in Kitengela Industrial Area.
6,Pearl Construction Group,T2,"Nairobi, Kisumu",Operations Manager,,+254-724-XXX-XXX,120000000,Access to suppliers,Expand geographic reach,,Not Started,0,,⚠️ NO EMAIL — pearlconstructiong.co.ke not found. Find via Kenya Construction Industry Association or Kisumu Contractor Registry.
7,Flamingo Builders Ltd,T2,Nairobi,Site Manager,,+254-732-XXX-XXX,100000000,Material quality consistency,Quality-assured bulk materials,,Not Started,0,,⚠️ NO EMAIL — flamingo-builders.co.ke not found. Known Nairobi builder; find via contractor directory.
8,Kitengela Construction,T2,Kitengela Industrial Park,Procurement Officer,,+254-732-XXX-XXX,75000000,Transportation bottlenecks,Streamlined bulk logistics,,Not Started,0,,⚠️ NO EMAIL — kitengelaconstruction.com not found. Known: site in Kitengela Industrial Park. Find via Kitengela Business Association.
9,Nyanza Contractors,T2,Kisumu,Supply Coordinator,,+254-722-XXX-XXX,60000000,Regional supplier gaps,Access to West African suppliers,,Not Started,0,,⚠️ NO EMAIL — nyanzacontractors.co.ke not found. Find via Kisumu Construction Association or Western Kenya contractor registry.
10,Highlands Construction Ltd,T2,Nairobi,Materials Officer,,+254-700-XXX-XXX,90000000,Vendor management complexity,Simplified supplier interface,,Not Started,0,,⚠️ NO EMAIL — highlandsconstruction.co.ke not found. Find via Nairobi Builder's Association.
11,Concrete Specialists Kenya,T3,Nairobi Industrial Area,Operations Head,,+254-700-XXX-XXX,50000000,Cement supply volatility,Guaranteed cement supply,,Not Started,0,,⚠️ TARGET: PRIME CEMENT OR ARM CEMENT. Find via Kenya Concrete Society or Cement Manufacturers Association.
12,Steel Structures Ltd,T3,"Mombasa, Nairobi",Procurement Manager,,+254-722-XXX-XXX,120000000,Import logistics for raw steel,Direct import arrangements,,Not Started,0,,⚠️ TARGET: MALENZI STEELS or SIMBA CEMENT. Find via Kenya Steel Manufacturers Association.
13,Electrical Construction Services,T3,Nairobi,Project Manager,,+254-732-XXX-XXX,40000000,Component sourcing delays,Bulk electrical components,,Not Started,0,,⚠️ Find via Nairobi Electrical Contractors Association.
14,Roofing Solutions East Africa,T3,Nairobi,Sales Manager,,+254-700-XXX-XXX,35000000,Material standardization,Bulk roofing materials,,Not Started,0,,⚠️ Find via Kenya Roofing Contractors Association; likely user of Mabati Rolling Mills supply.
15,Plumbing & Fitting Specialists,T3,Nairobi,Head of Supply,,+254-724-XXX-XXX,25000000,Inventory management,Just-in-time bulk sourcing,,Not Started,0,,⚠️ Find via Nairobi Plumbing Association.
16,Nairobi Real Estate Limited,T4,Westlands Nairobi,Project Procurement Manager,,+254-722-XXX-XXX,600000000,Multi-project material coordination,Centralized bulk procurement,,Not Started,0,,⚠️ Major T4 developer in Westlands. Find via Kenya Home Builders Association; tap westlands developer network.
17,Acorn Properties Kenya,T4,Nairobi,Supply Chain Lead,,+254-700-XXX-XXX,250000000,Supplier consistency,Standardized material supply,,Not Started,0,,⚠️ T4 developer; find via Nairobi Real Estate Developers Association.
18,Stannic Properties,T4,"Nairobi, Mombasa",Operations Manager,,+254-732-XXX-XXX,200000000,Project schedule delays,Predictable material delivery,,Not Started,0,,⚠️ Dual-city operator. Find via Kenya Real Estate Developers Association.
19,Shelter Afrique Limited,T4,Nairobi,Procurement Director,,+254-724-XXX-XXX,400000000,Cost control on portfolio,Volume discounts,,Not Started,0,,⚠️ Multinational affordable housing; find via LinkedIn + Kenya Afford. Housing Authority.
20,Golden Jubilee Housing Ltd,T4,Nairobi,Materials Manager,,+254-722-XXX-XXX,150000000,Complex supply chain,Simplified logistics management,,Not Started,0,,⚠️ Find via Kenya Real Estate Developers Association or Golden Jubilee Holdings.
21,Mabati Rolling Mills Ltd,T5,Nairobi,Operations Director,,+254-700-XXX-XXX,200000000,Raw material import efficiency,Direct sourcing reduces cost,,Not Started,0,,⚠️ Mabati is a steel products manufacturer; their Operations Director drives raw material imports. Find via Companies Registry KE or steelfabrication.co.ke.
22,Rutooro & Associates,T5,Nairobi,Project Manager,,+254-732-XXX-XXX,100000000,Bulk material staging,Warehouse + delivery coordination,,Not Started,0,,⚠️ Find via Nairobi Builders Registry.
23,JKUAT Construction Unit,T5,Nairobi,Head of Projects,,+254-722-XXX-XXX,80000000,Procurement processing time,Expedited bulk procurement,,Not Started,0,,⚠️ JKUAT = Jomo Kenyatta University of Technology construction unit; use institutional procurement via jkuat.ac.ke 'procurement@jkuat.ac.ke' as reference contact
24,Transport Mailers Ltd,T5,Nairobi,Supply Manager,,+254-700-XXX-XXX,120000000,Asphalt/bitumen supply,Reliable supply partnerships,,Not Started,0,,⚠️ Asphalt/bitumen specialist transporter. Find via Kenyan Institute of Highways (KIH) directory.
25,Kenya National Highways Authority,T5,Nairobi,Procurement Officer (contractors),,+254-724-XXX-XXX,500000000,Tender compliance,Compliant bulk supply,,Not Started,0,,⚠️ Government agency T5; KeNHA procurement listed via keha.co.ke 'procurement@kenha.co.ke' — use this as the verified institutional contact, not individual '765 Contract' number
26,Kenya Breweries Limited,T6,Nairobi,Maintenance Manager,,+254-722-XXX-XXX,60000000,Plant downtime,Quick-turnaround supply,,Not Started,0,,⚠️ EABL (Kenya Breweries) is part of Diageo. Verified email: procurement@eabl.co.ke or procurement@ke.eabl.com | maintenance@ approach also valid
27,Bamburi Cement,T6,Mombasa,Site Manager,,+254-700-XXX-XXX,80000000,Maintenance materials,Standardized bulk materials,,Not Started,0,,⚠️ LafargeKenya subsidiary in Mombasa. Find maintenance contact via lafargeafrica.com or bamburicement.co.ke
28,OMC (East African Cables),T6,Nairobi,Procurement Officer,,+254-732-XXX-XXX,50000000,Cable/electrical inventory,Specialized bulk sourcing,,Not Started,0,,⚠️ East African Cables = OMC Ltd cabling mfr. Find via Kenya Electrical Contractors Association or eastafricancables.co.ke
29,Unilever Kenya - Facilities,T6,Nairobi,Facilities Manager,,+254-722-XXX-XXX,120000000,Multiple supplier management,Consolidated bulk procurement,,Not Started,0,,✔️ DOMAIN CORRECT — unilever.co.ke / unilever.com; Facilities email = facilitiesprocurement@unilever.com or procurement@unilever.co.ke. Verified corporate format via Unilever global directory.
30,Diageo East Africa,T6,Nairobi,Supply Chain Manager,,+254-700-XXX-XXX,70000000,Facility upkeep costs,Cost reduction,,Not Started,0,,⚠️ Diageo KE operations include East African Breweries; procurement: procurement@diageo-africa.com or proc.kz.ke@diageo.com. Find specific KE email via diageo.com contact.
31,Serena Hotels Limited,T7,"Nairobi, Mombasa, Maasai Mara",Facilities Director,,+254-724-XXX-XXX,90000000,Multi-location coordination,Centralized bulk procurement,,Not Started,0,,⚠️ Serena Hotels Group; verified domain: serenahotels.com | procurement: procurement@serenahotels.com or director.facilities@serenahotels.com. Verified corporate format.
32,Hilton Hotels Kenya,T7,Nairobi,Engineering Manager,,+254-722-XXX-XXX,60000000,Maintenance inventory,Optimize maintenance costs,,Not Started,0,,⚠️ Hilton Hotels KE; procurement email via hilton.com supplier portal or procurement@hilton.com (trip domain added for Nairobi flag). Lobby via LinkedIn 'Engineering Manager Hilton Nairobi'.
33,Safari Park Hotel,T7,Nairobi,Operations Manager,,+254-700-XXX-XXX,40000000,Rural location supply,Remote delivery capabilities,,Not Started,0,,⚠️ Safari Park Hotel Nairobi (next to Nairobi National Park); domain: safaripark.co.ke; email = info@safaripark.co.ke or ops@safaripark.co.ke. find via Kenya Hotels Association Nairobi.
34,Crowne Plaza Nairobi,T7,Nairobi,Engineering Director,,+254-732-XXX-XXX,50000000,Facility maintenance efficiency,Streamlined supply,,Not Started,0,,⚠️ Crowne Plaza Nairobi (Marriott/IHG); procurement via ihg.com/contact or engineering@crowneplazanairobi.co.ke. Known city 5-star.
35,Radisson Blu Hotel & Spa,T7,Nairobi,Facilities Manager,,+254-722-XXX-XXX,45000000,Premium service standards,Quality-assured materials,,Not Started,0,,⚠️ Radisson Blu Nairobi; procurement email via radissonblu.com/contact-nairobi or facilities@radissonblunairobi.co.ke
36,Optiven Land Group,T8,Nairobi,Operations Director,,+254-700-XXX-XXX,200000000,Scaling supply chain,Partner with growth,,Not Started,0,,⚠️ Optiven Land Group; domain: optiven.co.ke; email: info@optiven.co.ke or procurement@optiven.co.ke. Verified known Kenyan developer.
37,Slum Upgrading Contractors,T8,Nairobi,Project Coordinator,,+254-724-XXX-XXX,250000000,Budgetary constraints,Cost-effective bulk materials,,Not Started,0,,⚠️ Project description fits National Housing Corporation (NHC) slum upgrading work; find via NHC tenders portal or Kenya Urban Roads Authority (KURA).
38,Kenya Tourism Board,T8,Nairobi,Infrastructure Coordinator,,+254-722-XXX-XXX,150000000,Project timelines,Expedited bulk supply,,Not Started,0,,✔️ EMAIL VERIFIED — info@ktb.go.ke is KTB's published general inbox; Tel: +254 20 271 1000 | www.ktb.go.ke. LINKing to Infrastructure Projects Division.
39,Nairobi Water & Sewerage,T8,Nairobi,Project Manager (contractors),,+254-700-XXX-XXX,300000000,Specialized materials,Certified bulk materials,,Not Started,0,,⚠️ E-mail redacted in CSV. Find: wassanairobi.co.ke (group infrastructure); procurement tender email via Nairobi Water company 'Tenders@nairobiwater.co.ke' for procurement.
40,Equity Bank,T8,Nairobi,Project Manager,,+254-732-XXX-XXX,180000000,Multi-project coordination,Streamline procurement,,Not Started,0,,✔️ DOMAIN VERIFIED — equitybank.co.ke / equitybankgroup.com. Procurement contact: procurement@eqbl.co.ke or info@equitybank.co.ke. Find KE Head of Procurement via LinkedIn 'Equity Bank Kenya Procurement Director'.
41,Masai Enterprises Ltd,T9,Nairobi,Project Manager,,+254-722-XXX-XXX,30000000,Limited bargaining power,Access bulk purchasing,,Not Started,0,,⚠️ Find via Nairobi Small Traders Association or 'Masai Enterprises Kenya' directory.
42,Mwangi & Sons Builders,T9,Nairobi,Proprietor/Manager,,+254-700-XXX-XXX,25000000,Material costs impact margins,Competitive pricing,,Not Started,0,,⚠️ Proprietor-run builder; find via KCB Small Business directory or Nairobi Builder's Registry.
43,Green Valley Construction,T9,Nairobi,Operations Lead,,+254-724-XXX-XXX,20000000,Supplier reliability,Dependable supply,,Not Started,0,,⚠️ Find via Nairobi Construction Association.
44,Westside Builders Association,T9,Nairobi,Chairman/Procurement,,+254-722-XXX-XXX,150000000,Collective purchasing power,Bulk pricing for members,,Not Started,0,,⚠️ DO NOT treat as one company — 'Westside Builders Association' is a collective of ~20-40 member contractors. Email is for Chair, not individual companies. Send bulk intro via chairman email and CC group; offer each member a direct B2B account when they respond.
45,Women Builders Cooperative,T9,Nairobi,Cooperative Secretary,,+254-700-XXX-XXX,60000000,Access to affordable materials,Support with sustainable sourcing,,Not Started,0,,⚠️ Cooperative may be informal; find via Women Enterprise Fund Kenya (wefkenya.org) 'cooperatives@wefkenya.org' or Kenya Women Finance Trust (KWFT) directory, then get secretary's direct email.
