PARTNER,COMPANY_NAME,COUNTRY,TIER,CONTACT_NAME,TITLE,EMAIL,PHONE,CAPABILITY,INTEREST_LEVEL,FIRST_CONTACT_DATE,STATUS,DISCOVERY_CALL_DATE,PROPOSAL_SENT_DATE,PROPOSAL_SIGNED_DATE,PILOT_START_DATE,REVENUE_MODEL,MONTHLY_REVENUE_POTENTIAL,NOTES
1,Meridian Trust Limited,Ghana,T1,,,contact@meridian-trust.com,,Warehouse + Distribution,Not Contacted,,,,,,,Revenue Share 15%,7500,🚨 EMAIL FLAGGED — contact@meridian-trust.com resolves to Meridian Trust (Cyprus offshore corporate services) NOT a Ghana warehouse/distribution company. This email is WRONG for the Ghana operation. REACH BOTH: (1) contact@meridian-trust.com to clarify if Meridian Trust (Cyprus) has a Ghana subsidiary, (2) info@meridian.com.gh as the likely correct address for the Accra/Ghana business entity during verification. Cannot send as-is.
2,Jospong Group,Ghana,T1,,,info@jospong.com,,Logistics Fleet + Warehouse,Not Contacted,,,,,,,Revenue Share 12%,5000,⚠️ EMAIL FROM CSV ONLY — jospong.com was unreachable during direct verification; info@ prefix is standard for large Ghanaian groups but UNCONFIRMED. Find the specific Head of Partnerships via: Ghana Chamber of Commerce directory, LinkedIn 'Jospong Group', or Ghana Yellow Pages. Bounce-rate risk = medium-high.
3,GNPC Downstream,Ghana,T1,,,sales@gnpc.com,,Distribution Network,Not Contacted,,,,,,,Co-Marketing + Referral,3000,⚠️ EMAIL SPECULATIVE — gnpc.com was unreachable during verification; gnpc.com.gh was also unreachable. Standard corporate email format for Ghana NOC oil companies uses @gnpc.com or @gnpc.com.gh. sales@ prefix is speculative — data not confirmed. Find correct Outboard/First Contact email via Ghana company registrar or LinkedIn before sending.
4,DHL Supply Chain West Africa,Ghana/Senegal,T1,,,partnerships@dhl.com,,Cross-border Logistics,Not Contacted,,,,,,,Contract Logistics,8000,✅ partnerships@dhl.com is DHL's published global partnerships inbox — correct but generic; will route through generic triage. Consider researching a specific regional head (West Africa) via LinkedIn for faster response.
5,Traders' Warehouse Limited,Senegal,T1,,,operations@traders-warehouse.sn,,Import/Export Warehouse,Not Contacted,,,,,,,Revenue Share 15%,8000,⚠️ DOMAIN DID NOT RESOLVE — traders-warehouse.sn was unreachable during verification; operations@ prefix is standard but email address not confirmed. Find via: Dakar Chamber of Commerce, SENEGEL Yellow Pages (goafricaonline.com/sn), or LinkedIn 'Traders Warehouse Senegal'. Senegal area code: +221.
6,Makro/SPAR Ghana,Ghana,T2,,,wholesale@makro.com,,Retail + Wholesale,Not Contacted,,,,,,,Co-branded Program 3-5%,4000,⚠️ EMAIL FROM CSV ONLY — makro.com is the global Makro retail group (South African HQ at makro.co.za); 'wholesale@makro.com' speculative. Confirm Ghana-specific partner recruitment address via SPAR/Makro Ghana regional office.
7,Pick n Pay,South Africa,T2,,,partnerships@picknpay.co.za,,Retail + Logistics,Not Contacted,,,,,,,Revenue Share 12-18%,6000,✅ partnerships@picknpay.co.za is Pick n Pay's published partnerships inbox for South Africa (SA country code verification). Used as regional West Africa entry point via SA HQ.
8,Ghana Retailers Association,Ghana,T2,,,info@ghanaretailers.org,,Member Network,Not Contacted,,,,,,,Referral + Discounts,2000,⚠️ EMAIL FROM CSV ONLY — domain ghanaretailers.org appears but pattern note: CSV label "ghanaretallers.org" may be a typo (double t). Verify correct domain before sending. Ghana Chamber of Commerce member directory can confirm.
9,Senegal Chamber of Commerce,Senegal,T2,,,chamber@senegal-commerce.sn,,Member Network,Not Contacted,,,,,,,Referral + Volume,2500,⚠️ EMAIL SPECULATIVE — chamber@senegal-commerce.sn was not confirmed. Use senegal-commerce.sn contact form or try info@senegal-chamber.sn. Senegal business directories: goafricaonline.com/sn, chambredecommercesn.com.
10,Sierra Leone Business Association,Sierra Leone,T2,,,info@slba.org,,Member Network,Not Contacted,,,,,,,Referral + Volume,1500,⚠️ EMAIL = info@slba.org — sierra-leone-business-association or .org slba is unconfirmed. Check Sierra Leone Chamber of Commerce (slchamber.com) for verified directory.
