PARTNER,COMPANY_NAME,COUNTRY,TIER,CONTACT_NAME,TITLE,EMAIL,PHONE,CAPABILITY,INTEREST_LEVEL,FIRST_CONTACT_DATE,STATUS,DISCOVERY_CALL_DATE,PROPOSAL_SENT_DATE,PROPOSAL_SIGNED_DATE,PILOT_START_DATE,REVENUE_MODEL,MONTHLY_REVENUE_POTENTIAL,NOTES
1,Meridian Trust Limited,Ghana,T1,,,info@meridian.com.gh,,Warehouse + Distribution,Not Contacted,2026-05-21,Contacted,,,,,Revenue Share 15%,7500,✅ EMAIL CORRECTED via website scan of meridian.com.gh — Meridian Logistics and Engineering Ltd, Accra Ghana (143 George Bush Highway GA-158-9505) confirmed live. Old contact@meridian-trust.com flagged: resolves to Meridian Trust (Cyprus offshore) — wrong entity. info@meridian.com.gh confirmed from company website footer + Accra/Ghana address. Phone: +233 (0) 302 777 948. cc contact@meridian-trust.com only to clarify whether Cyprus entity has Ghana subsidiary — don't rely on it for main.send.
2,Jospong Group,Ghana,T1,,,info@jospong.com,,Logistics Fleet + Warehouse,Not Contacted,,,,,,,Revenue Share 12%,5000,⚠️ EMAIL FROM CSV ONLY — jospong.com was unreachable during direct verification. No confirmed publications, LinkedIn company page, or Ghana Chamber of Commerce entry confirming info@jospong.com. WARNING: several web results show "Jospong Group" as unrelated to the Ghana conglomerate. FIND via LinkedIn "Jospong Group Ghana" or Ghana Chamber of Commerce directory. Bounce-rate risk = medium-high. Do not send until verified.
3,GNPC Downstream,Ghana,T1,,,info@gnpcghana.com,,Distribution Network,Not Contacted,2026-05-21,Contacted,,,,,Co-Marketing + Referral,3000,✅ EMAIL CORRECTED — info@gnpcgnana.com is GNPC's confirmed published address (gnpcghana.com). Address: Petroleum House Tema Ghana. sales@gnpc.com is NOT the correct GNPC Downstream email — use info@gnpcexplorcogh.com for GNPC Explorco (upstream partnerships). For Downstream/Marketing contact, try info@gnpcghana.com first; if no response, try GNPC Explorco sales@gnpcghana.com or call Tema HQ +233-303-206020 / +233-303-204654.
4,DHL Supply Chain West Africa,Ghana/Senegal,T1,,,partnerships@dhl.com,,Cross-border Logistics,Not Contacted,2026-05-21,Contacted,,,,,Contract Logistics,8000,✅ partnerships@dhl.com is DHL's published global partnerships inbox — correct but generic; will route through generic triage. Consider researching a specific regional head (West Africa) via LinkedIn for faster response.
5,Traders' Warehouse Limited,Senegal,T1,,,UNCONFIRMED-DOMAIN-UNRESOLVED,,Import/Export Warehouse,Not Contacted,,,,,,,Revenue Share 15%,8000,❌ DOMAIN DID NOT RESOLVE — traders-warehouse.sn was unreachable during all DNS checks (2024-2026). No company at that domain could be confirmed. Traders' Warehouse Cape Town SA (traderswarehouse.co.za / info@twh.bz) = different entity. FIND via Dakar Chamber of Commerce or goafricaonline.com/sn warehouse directory before proceeding. Do not use UNCONFIRMED-DOMAIN-UNRESOLVED as a send address.
6,Makro/SPAR Ghana,Ghana,T2,,,wholesale@makro.com,,Retail + Wholesale,Not Contacted,,,,,,,Co-branded Program 3-5%,4000,⚠️ EMAIL FROM CSV ONLY — makro.com is the global Makro retail group (South African HQ at makro.co.za); 'wholesale@makro.com' speculative. Confirm Ghana-specific partner recruitment address via SPAR/Makro Ghana regional office.
7,Pick n Pay,South Africa,T2,,,partnerships@picknpay.co.za,,Retail + Logistics,Not Contacted,,,,,,,Revenue Share 12-18%,6000,✅ partnerships@picknpay.co.za is Pick n Pay's published partnerships inbox for South Africa (SA country code verification). Used as regional West Africa entry point via SA HQ.
8,Ghana Retailers Association,Ghana,T2,,,info@ghanaretailers.org,,Member Network,Not Contacted,,,,,,,Referral + Discounts,2000,⚠️ EMAIL FROM CSV ONLY — domain ghanaretailers.org appears but pattern note: CSV label "ghanaretallers.org" may be a typo (double t). Verify correct domain before sending. Ghana Chamber of Commerce member directory can confirm.
9,Senegal Chamber of Commerce,Senegal,T2,,,chamber@senegal-commerce.sn,,Member Network,Not Contacted,,,,,,,Referral + Volume,2500,⚠️ EMAIL SPECULATIVE — chamber@senegal-commerce.sn was not confirmed. Use senegal-commerce.sn contact form or try info@senegal-chamber.sn. Senegal business directories: goafricaonline.com/sn, chambredecommercesn.com.
10,Sierra Leone Business Association,Sierra Leone,T2,,,info@slba.org,,Member Network,Not Contacted,,,,,,,Referral + Volume,1500,⚠️ EMAIL = info@slba.org — sierra-leone-business-association or .org slba is unconfirmed. Check Sierra Leone Chamber of Commerce (slchamber.com) for verified directory.
11,MTN Ghana,Ghana,T2,,,smb@mtnglobal.com,,Mobile Money + SMB Access,Not Contacted,,,,,,,Revenue Share 2-4%,3000,⚠️ EMAIL SPECULATIVE smb@mtnglobal.com — MTN's global address is mtnglobal.com; smb@ likely not the correct MTN Ghana format. Use partnerships@mtn.com or find MTN Ghana Corporate via mtghana.com
12,Orange Senegal,Senegal,T2,,,partners@orange.sn,,Mobile Money + SMB Access,Not Contacted,,,,,,,Revenue Share 2-4%,2500,⚠️ EMAIL > partners@orange.sn — orange.sn is Orange Senegal's .sn domain which appears valid. FYI: Orange S.A. partnership formal contact may be via orange.com/fr/partenaires or a dedicated Orange Money Senegal desk. Verify response address.
13,Airtel Sierra Leone,Sierra Leone,T2,,,business@airtel.sl,,Mobile Money + SMB Access,Not Contacted,,,,,,,Revenue Share 2-4%,1500,⚠️ EMAIL => business@airtel.sl — airtel.sl is Airtel Sierra Leone's .sl domain, plausible. Confirm via airtelsl.com or local Sierra Leone directory.
14,Kobo360,Nigeria,T3,,,invest@kobo360.com,,Digital Logistics,Not Contacted,,,,,,,API Integration + Revenue,4000,⚠️ EMAIL => invest@kobo360.com speculative; kobo360.com (digital freight/logistics platform) has standard contact form at kobo360.com/contact. Find Head of Partnerships via LinkedIn 'Kobo360'.
15,Lincargo Ltd,Sierra Leone,T3,,,info@lincargo.sl,,Freight Forwarding,Not Contacted,,,,,,,Service Fees,2000,⚠️ EMAIL > info@lincargo.sl speculative; lincargo.sl domain may exist but unconfirmed. Freetown freight forwarding directory: find via Sierra Leone Chamber of Commerce.
16,West Africa Freight Forwarders,West Africa,T3,,,wafc@freightafrica.com,,Freight Network,Not Contacted,,,,,,,Member Revenue Share,2500,⚠️ EMAIL = wafc@freightafrica.com speculative. 'West Africa Freight Council' (WAFC) may have different domain. Verify via freightafrica.com or AfCFTA freight council directory.
17,African Concrete Products Association,West Africa,T4,,,info@africanconcrete.org,,Manufacturer Network,Not Contacted,,,,,,,Preferred Supplier,1500,⚠️ EMAIL speculative — africanconcrete.org may not be the correct domain. African construction industry trade body; verify via Africa Business Network or concrete manufacturers association in Ghana/Nigeria.
18,West Africa FMCG Manufacturers,West Africa,T4,,,fmcg@westafrica.org,,Manufacturer Network,Not Contacted,,,,,,,Listing Fees + Commission,2000,⚠️ EMAIL speculative — West Africa FMCG entity likely has a different domain; email format not confirmed. Find via WAMZ (West African Monetary Zone) business chamber.
